,orp_nazev,pocet_nakazenych_Q1,pocet_nakazenych_Q2,pocet_nakazenych_Q3,pocet_nakazenych_Q4,pocet_ockovanich_Q1,pocet_ockovanich_Q2,pocet_ockovanich_Q3,pocet_ockovanich_Q4,0-14,15-59,nad 59
0,Benešov,0.1389438600145818,679,134,3690,2639,15995,18141,12337,"(9481.984, 11301.6]",34629,16072
1,Beroun,0.08415790021872716,840,305,4518,3798,16521,17874,13398,"(11301.6, 13103.2]",38647,15477
2,Blansko,0.0008332465368190434,749,93,4090,3459,15949,13458,11873,"(9481.984, 11301.6]",34557,15491
3,Brandýs nad Labem-Stará Boleslav,0.5497344026663888,1146,399,8744,5132,24773,34573,22186,"(23912.8, 25714.4]",69030,21807
4,Brno,0.9999999999999999,1762,416,10818,8310,39529,38329,35838,"(25714.4, 27516.0]",89829,41607
5,Břeclav,0.0,506,106,3714,3254,15949,13458,11891,"(9481.984, 11301.6]",34565,16188
6,Chomutov,0.07093011144672423,1040,120,3974,3039,21161,19107,19001,"(11301.6, 13103.2]",48655,19818
7,Chrudim,0.40172898656389955,1065,170,5317,4102,21715,20673,17924,"(13103.2, 14904.8]",47739,22632
8,Děčín,0.30434329757316947,940,72,2763,2526,21839,17411,14664,"(11301.6, 13103.2]",43336,20635
9,Frýdek-Místek,0.3347567961670659,1682,326,9052,4436,30906,23121,22245,"(16706.4, 18508.0]",65646,28701
10,Havířov,0.07915842099781267,1229,174,6622,4082,23559,17721,17329,"(11301.6, 13103.2]",48902,24338
11,Hodonín,0.0,904,82,3989,2526,16472,13458,11873,"(9481.984, 11301.6]",35024,16634
12,Hradec Králové,0.9999999999999999,816,220,9364,8264,39529,32020,35700,"(22111.2, 23912.8]",82008,41586
13,Jablonec nad Nisou,0.23070513488178312,576,105,2775,3386,15949,13475,12143,"(9481.984, 11301.6]",34557,15477
14,Jihlava,0.2174773461097802,1761,157,7021,4290,28288,25654,22494,"(14904.8, 16706.4]",58267,26233
15,Karlovy Vary,0.34413081970628057,506,222,2763,5871,23362,18651,18706,"(11301.6, 13103.2]",49457,24958
16,Karviná,0.030830121862305992,817,73,4792,2526,16062,13458,11873,"(9481.984, 11301.6]",35733,17340
17,Kladno,0.6877408603270493,1340,294,7165,6705,31346,34232,25963,"(20309.6, 22111.2]",73592,31199
18,Kolín,0.5085928549109467,772,153,4958,4551,22067,21285,18491,"(13103.2, 14904.8]",48577,21757
19,Kroměříž,0.0,929,72,5871,3287,18114,14433,11873,"(9481.984, 11301.6]",38551,19107
20,Liberec,0.9989584418289762,1688,239,7314,8310,33182,36154,33813,"(23912.8, 25714.4]",84194,36578
21,Litoměřice,0.007603374648474104,716,72,3183,2851,16370,13458,12218,"(9481.984, 11301.6]",34557,15477
22,Mladá Boleslav,0.743360066659723,1162,192,5843,4422,25656,29847,22516,"(18508.0, 20309.6]",67349,27110
23,Most,0.1605041141547755,1248,91,3787,2535,19836,15636,14234,"(11301.6, 13103.2]",44139,18192
24,Náchod,0.27018018956358714,506,72,2763,2991,18683,13505,14479,"(9481.984, 11301.6]",34557,17443
25,Nýřany,0.17654410998854286,515,212,3294,2718,15949,14641,11936,"(9481.984, 11301.6]",34557,15477
26,Olomouc,0.781793563170503,1762,358,10818,8310,38865,38329,35838,"(25714.4, 27516.0]",89829,41607
27,Opava,0.4120404124570357,1213,287,7208,5538,27777,21567,19561,"(14904.8, 16706.4]",57668,27115
28,Ostrava,0.9999999999999999,1762,416,10818,8310,39529,38329,35838,"(25714.4, 27516.0]",89829,41607
29,Pardubice,0.9999999999999999,1385,266,8550,6485,33248,33261,27122,"(20309.6, 22111.2]",76668,34092
30,Plzeň,0.9999999999999999,1593,416,10818,8310,39529,38329,35838,"(25714.4, 27516.0]",89829,41607
31,Prostějov,0.1412352879908343,1194,130,9647,4737,24757,20973,18472,"(14904.8, 16706.4]",55971,26276
32,Přerov,0.08926153525674407,967,86,6341,3867,21654,15402,13482,"(11301.6, 13103.2]",45245,22777
33,Příbram,0.17508592854910943,642,85,3323,4333,20635,16700,17112,"(9481.984, 11301.6]",39889,19390
34,Sokolov,0.465680658264764,506,106,2763,3177,19553,17537,14416,"(11301.6, 13103.2]",43890,18872
35,Teplice,0.34579731277991876,1754,248,5786,3206,31131,22155,20889,"(16706.4, 18508.0]",61906,27414
36,Trutnov,0.32454952609103216,506,72,2763,2667,16447,15359,14825,"(9481.984, 11301.6]",35941,17478
37,Tábor,0.1554004791167587,1218,112,5131,3667,23816,19943,20472,"(11301.6, 13103.2]",45409,22549
38,Třebíč,0.03635038016873238,1085,206,4181,3389,20554,18271,15762,"(9481.984, 11301.6]",42535,20296
39,Uherské Hradiště,0.0539527132590355,1279,104,7056,4503,24718,20553,20284,"(13103.2, 14904.8]",51409,24621
40,Vsetín,0.0,1565,193,4736,2526,15949,13854,11873,"(9481.984, 11301.6]",37680,17520
41,Zlín,0.15977502343505878,1698,135,8329,4218,28897,23146,23306,"(14904.8, 16706.4]",55554,28008
42,Znojmo,0.17883553796479534,1256,141,6782,4798,22017,20702,18238,"(13103.2, 14904.8]",52999,24214
43,Ústí nad Labem,0.5060931153004895,1762,171,7255,6465,34466,27655,25666,"(18508.0, 20309.6]",68764,30403
44,Černošice,0.7143005936881573,1455,416,10674,7176,37285,38329,32571,"(25714.4, 27516.0]",89380,31018
45,Česká Lípa,0.3324653681908134,1297,76,3484,2686,16586,20416,13354,"(11301.6, 13103.2]",45120,18862
46,České Budějovice,0.6025414019372982,1762,416,10818,7756,39529,38270,35838,"(25714.4, 27516.0]",89829,41607
47,Říčany,0.18570982189355278,764,279,5840,2758,18049,20672,15496,"(14904.8, 16706.4]",42816,15477
48,Šlapanice,0.015206749296948208,715,156,6167,3684,17928,16963,14811,"(13103.2, 14904.8]",41096,16341
49,Šumperk,0.0,911,89,6101,2526,18061,13787,13317,"(9481.984, 11301.6]",38285,19735
